各業受僱員工(人數)(單位：人、元),,,,,,,,
,住宿及餐飲業,,金融及保險業,,醫療保健及社會工作服務業,,藝術、娛樂及休閒服務業,
,100年7月,101年7月,100年7月,101年7月,100年7月,101年7月,100年7月,101年7月
(888800)總計,"287,137 ","305,649 ","358,584 ","359,476 ","345,940 ","316,194 ","51,031 ","49,726 "
(100000)主管及監督人員,"98,045 ","103,020 ","66,806 ","66,090 ","15,722 ","14,915 ","15,425 ","15,383 "
(200000)專業人員,"3,396 ","3,441 ","26,180 ","27,990 ","227,024 ","230,671 ","2,468 ","2,339 "
(300000)技術員及助理專業人員,"2,850 ","2,358 ","146,734 ","144,253 ","32,145 ","32,052 ","2,218 ","2,486 "
(400000)事務支援人員,"16,356 ","16,500 ","108,783 ","111,247 ","26,562 ","23,947 ","6,033 ","5,815 "
(500000)服務及銷售工作人員,"136,309 ","150,349 ","6,214 ","6,250 ","31,802 ","5,317 ","14,765 ","13,014 "
(700000)技藝、機械設備操作及組裝人員,"2,995 ","3,462 ","1,867 ","1,907 ","5,040 ","2,349 ",984 ,934 
(900000)基層技術工及勞力工,"27,186 ","26,519 ","2,000 ","1,739 ","7,645 ","6,943 ","9,138 ","9,755 "
,,,,,,,,
各業受僱員工(經常薪資)(單位：人、元),,,,,,,,
,住宿及餐飲業,,金融及保險業,,醫療保健及社會工作服務業,,藝術、娛樂及休閒服務業,
,100年7月,101年7月,100年7月,101年7月,100年7月,101年7月,100年7月,101年7月
(888800)總計,"25,692 ","26,708 ","54,653 ","56,465 ","47,207 ","51,035 ","30,613 ","31,426 "
(100000)主管及監督人員,"37,811 ","40,170 ","93,913 ","94,993 ","82,286 ","91,312 ","43,074 ","43,030 "
(200000)專業人員,"41,015 ","39,262 ","58,188 ","58,980 ","53,016 ","54,199 ","33,129 ","38,203 "
(300000)技術員及助理專業人員,"34,852 ","32,575 ","46,470 ","50,718 ","33,928 ","33,939 ","40,115 ","37,912 "
(400000)事務支援人員,"23,772 ","23,833 ","41,986 ","41,752 ","28,426 ","30,936 ","23,038 ","25,311 "
(500000)服務及銷售工作人員,"18,058 ","18,838 ","45,700 ","44,644 ","24,944 ","29,385 ","23,253 ","24,213 "
(700000)技藝、機械設備操作及組裝人員,"30,125 ","29,507 ","38,392 ","38,588 ","30,073 ","37,670 ","33,812 ","30,107 "
(900000)基層技術工及勞力工,"18,056 ","18,304 ","29,279 ","31,781 ","27,557 ","28,753 ","23,144 ","23,245 "
