各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,,,,,,,
,總平均,,,,國中及以下,,,,高中或高職,,,,專科,,,,大學,,,,研究所及以上,,,
,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95
住宿及餐飲業,"20,848 ","20,989 ","20,975 ","21,038 ","17,706 ","18,322 ","18,649 ","18,621 ","19,450 ","19,305 ","19,879 ","19,704 ","21,458 ","21,150 ","21,626 ","21,714 ","22,635 ","22,822 ","23,215 ","23,194 ","23,379 ","24,668 ","25,877 ","26,179 "
　　專業人員,"26,040 ","25,573 ","25,252 ","25,512 ",－,－,－,－,－,－,－,－,"24,639 ","23,728 ","24,556 ","24,884 ","26,276 ","25,704 ","26,000 ","25,998 ","27,342 ","27,855 ","25,091 ","26,250 "
　　技術員及助理專業人員,"23,305 ","22,974 ","25,234 ","24,041 ",－,－,－,－,"21,255 ","20,291 ","23,755 ","21,856 ","23,264 ","22,379 ","24,994 ","23,767 ","23,947 ","24,215 ","26,118 ","25,090 ","24,893 ","25,789 ","27,237 ","26,198 "
　　事務工作人員,"20,339 ","20,816 ","21,194 ","21,723 ","16,907 ","18,210 ","19,000 ","19,580 ","18,933 ","19,075 ","19,758 ","20,016 ","20,552 ","20,646 ","21,245 ","21,436 ","21,948 ","22,308 ","22,950 ","23,544 ","22,572 ","24,598 ","25,408 ","26,129 "
　　服務工作人員及售貨員,"19,181 ","19,108 ","19,140 ","19,185 ","17,406 ","17,809 ","17,911 ","18,353 ","18,730 ","18,402 ","18,766 ","18,792 ","19,455 ","19,238 ","19,684 ","19,709 ","20,220 ","19,983 ","20,840 ","20,262 ","20,772 ","21,686 ",－,－
　　技術工及機械設備操作工,"22,768 ","23,085 ","23,624 ","23,947 ","19,917 ","20,354 ","22,128 ","20,310 ","22,310 ","22,388 ","23,500 ","23,259 ","23,243 ","23,153 ","24,333 ","24,973 ","23,936 ","24,798 ","24,324 ","26,588 ","24,763 ","25,401 ",－,－
　　非技術工及體力工,"18,106 ","18,351 ","18,788 ","18,583 ","17,611 ","17,991 ","18,525 ","18,091 ","18,581 ","18,722 ","19,053 ","19,036 ",－,－,－,－,－,－,－,－,－,－,－,－
金融、保險業,"28,935 ","28,442 ","28,967 ","29,475 ","20,884 ","20,741 ","20,599 ","21,896 ","23,996 ","23,971 ","23,232 ","23,799 ","27,648 ","26,910 ","26,866 ","27,070 ","30,435 ","29,953 ","30,435 ","30,569 ","33,092 ","34,796 ","36,313 ","36,466 "
