各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99
住宿及餐飲業,"21,766 ","21,550 ","22,057 ","19,116 ","18,681 ","19,332 ","20,221 ","19,691 ","20,224 ","22,305 ","22,037 ","22,517 ","23,807 ","23,486 ","23,768 ","30,635 ","27,821 ","28,012 "
　　專業人員,"28,745 ","27,355 ","28,682 ",－,－,－,－,－,－,"27,333 ","26,109 ","27,678 ","28,244 ","27,285 ","28,716 ","32,537 ","29,405 ","30,297 "
　　技術員及助理專業人員,"25,694 ","24,887 ","25,749 ",－,－,－,"23,405 ","21,908 ","23,346 ","24,820 ","24,275 ","25,149 ","26,727 ","25,928 ","26,345 ","29,359 ","27,876 ","28,330 "
　　事務工作人員,"22,583 ","22,021 ","22,089 ","20,569 ","19,670 ","18,340 ","20,766 ","20,296 ","20,073 ","22,557 ","21,901 ","22,093 ","24,255 ","22,866 ","23,502 ","29,545 ","26,272 ","26,119 "
　　服務工作人員及售貨員,"19,870 ","19,491 ","20,122 ","18,758 ","18,208 ","19,352 ","19,494 ","18,837 ","19,497 ","20,505 ","20,055 ","20,651 ","20,825 ","20,959 ","20,985 ",－,－,－
　　技術工及機械設備操作工,"22,357 ","23,783 ","23,905 ","20,395 ","21,513 ","22,106 ","21,600 ","22,664 ","23,869 ","23,303 ","24,329 ","23,978 ","24,600 ","25,921 ","25,318 ",－,－,－
　　非技術工及體力工,"19,555 ","18,818 ","19,299 ","18,845 ","18,395 ","18,921 ","20,059 ","19,204 ","19,576 ",－,－,－,－,－,－,－,－,－
金融及保險業,"29,099 ","28,513 ","28,399 ","20,729 ","22,458 ","20,584 ","22,977 ","23,510 ","22,872 ","26,840 ","26,326 ","26,266 ","30,262 ","29,152 ","29,301 ","35,971 ","33,914 ","34,084 "
　　專業人員,"33,468 ","31,850 ","32,124 ",－,－,－,－,－,－,"29,085 ","27,889 ","28,037 ","32,748 ","31,266 ","31,387 ","37,834 ","35,429 ","35,647 "
　　技術員及助理專業人員,"30,038 ","29,021 ","28,910 ",－,－,－,"23,364 ","24,068 ","23,748 ","27,058 ","26,431 ","26,254 ","30,533 ","29,270 ","29,358 ","35,445 ","33,833 ","33,780 "
　　事務工作人員,"28,091 ","27,340 ","27,496 ","20,693 ","22,117 ","20,482 ","22,868 ","23,013 ","22,807 ","25,833 ","25,521 ","25,504 ","28,965 ","27,847 ","28,179 ","34,588 ","32,489 ","32,750 "
　　服務工作人員及售貨員,"25,040 ","25,444 ","24,016 ","20,247 ","23,454 ","19,289 ","22,778 ","23,571 ","21,609 ","25,432 ","25,079 ","24,435 ","28,116 ","27,714 ","26,879 ",－,－,－
　　技術工及機械設備操作工,"25,779 ","26,420 ","25,958 ","22,267 ","23,528 ","22,069 ","24,385 ","24,853 ","24,295 ","25,984 ","26,484 ","26,424 ","28,716 ","28,905 ","28,825 ",－,－,－
